Model Name,Model ID
NVIDIA: Nemotron 3 Ultra,nvidia/nemotron-3-ultra-550b-a55b:free
MiniMax: MiniMax M3,minimax/minimax-m3:free
Poolside: Laguna S 2.1,poolside/laguna-s-2.1:free
NVIDIA: Nemotron 3.5 Lightning,nvidia/nemotron-3.5-lightning:free
NVIDIA: Nemotron 3 Super,nvidia/nemotron-3-super-120b-a12b:free
Thinking Machines: Inkling,thinkingmachines/inkling:free
Cohere: North Mini Code,cohere/north-mini-code:free
Dots Studio: Dots3-Note Preview,dots-studio/dots-3-note-preview:free
MiniMax: MiniMax M2.7,minimax/minimax-m2.7:free
Ling 3.0 Flash Fin,inclusionai/ling-3.0-flash-fin:free
